Barcode,"Last, First"
0039GD,"ItalianSkyBlue, BorderTerrier"
003HWD,"Kobicha, Booby"
003MFA,"Flirt, GoldenLionTamarin"
003TSE,"ChineseViolet, StickInsect"
003UJZ,"Independence, Lama"
003WT8,"CyberGrape, PygmyRightWhale"
003YL8,"RosePink, AlpineDachsbracke"
0040IT,"FieryRose, AfricanTreePangolin"
0045PH,"BronzeYellow, BrownBear"
0046J9,"BeauBlue, SeaSquirt"
0046XK,"Moccasin, RedKangaroo"
00472I,"EnglishViolet, EurasianLynx"
004BJV,"TropicalRainForest, LabradorRetriever"
004DAA,"KombuGreen, Woodchuck"
004GC0,"SmokyTopaz, Dunker"
004H8O,"ModeBeige, Lobster"
004HO3,"Chartreuse, Akita"
004HOM,"TurquoiseBlue, DogoArgentino"
004IP0,"DavysGrey, Caterpillar"
004IPS,"PastelOrange, Mink"
004KKO,"LavenderBlush, Quokkas"
004LR0,"SafetyYellow, DeutscheBracke"
004NE6,"Tuscany, PurpleEmperor"
004QW7,"Quartz, AsianElephant"
004SXE,"BarbiePink, Labradoodle"
004UKZ,"OldLace, RedEyedTreeFrog"
004VXX,"Cherry, CloudedLeopard"
004ZUY,"AmaranthRed, DogueDeBordeaux"
0054G7,"Rajah, Chipmunk"
0056PN,"BulgarianRose, Affenpinscher"
005EF9,"DebianRed, GiantClam"
005G7Q,"Ube, Elephant"
005H0U,"LightApricot, LoggerheadTurtles"
005H2O,"TrolleyGrey, FinnishSpitz"
005IRK,"FrenchPuce, Numbat"
005IRP,"Lion, BeardedCollie"
005JRB,"AshGrey, RedKangaroo"
005K4M,"SalmonPink, DogueDeBordeaux"
005NOF,"MinionYellow, Shrimp"
005TN1,"PeachYellow, Molly"
005UYY,"ModeBeige, Echidna"
005VAG,"PersianIndigo, Boar"
005W9M,"DarkLava, Flounder"
0061C8,"FuchsiaPink, Ibis"
0067M1,"Plum, GalapagosPenguin"
0068FT,"ChineseRed, PilotWhale"
0069GU,"MossGreen, WhiteTiger"
0069M0,"SkyMagenta, LeastWeasel"
006BPF,"LaSalleGreen, DogoArgentino"
006FCD,"ShamrockGreen, Bulldog"
006FYY,"RichLilac, PoisonDartFrog"
006G3I,"FluorescentPink, RedhandedTamarin"
006OY2,"Lion, Wildebeest"
006QR7,"DenimBlue, FreshWaterCrocodile"
006SM3,"BabyPink, AfricanPalmCivet"
006SSX,"TuscanRed, AppenzellerDog"
006TAJ,"LavenderGray, Puma"
006VLA,"Marigold, DuckbillPlatypus"
006Y6D,"DeepSkyBlue, FurSeal"
006ZAJ,"PersianRed, HarborSeal"
00701A,"BurntSienna, FrenchBulldog"
00728U,"BlackShadows, GrayNurseShark"
0076XB,"MediumAquamarine, Numbat"
0078CH,"DebianRed, BullShark"
007B91,"BrunswickGreen, IbizanHound"
007CWH,"ElectricCrimson, TawnyOwl"
007EDM,"SalmonPink, GreenPoisonDartFrog"
007FT3,"Pear, PotbelliedPig"
007G2O,"DarkOrchid, BichonFrise"
007HQ5,"Flirt, VancouverIslandMarmot"
007I5M,"SlimyGreen, Mouse"
007IP7,"Ming, SeaSquirt"
007OQK,"LawnGreen, EnglishShepherd"
007OWP,"ArmyGreen, Iguanodon"
007PXX,"MayGreen, Stingray"
007QIK,"Bistre, Alpaca"
007TQV,"KUCrimson, GiantSchnauzer"
007U71,"PakistanGreen, Squirrel"
007W16,"DarkOrange, Badger"
007YSU,"CocoaBrown, LeastWeasel"
007ZF2,"EgyptianBlue, MonkSeal"
0080EW,"NeonCarrot, Leopard"
0084XU,"AuroMetalSaurus, LemonShark"
0085IO,"Stormcloud, Guppy"
0086SM,"DarkSlateGray, Quolls"
0087J8,"ClassicRose, GrayWhale"
0088TN,"EnglishLavender, Axolotl"
0089O1,"LightBrown, Pig"
008DN7,"HeatWave, Caracal"
008F9I,"CyberYellow, Collie"
008IKL,"Bluebonnet, Otter"
008JVE,"DebianRed, Quokka"
008LG3,"MintGreen, Bulldog"
008S8A,"RawUmber, EurasianLynx"
008SY7,"DingyDungeon, DeutscheBracke"
008V19,"TractorRed, Gopher"
008W6Q,"OrangeSoda, FennecFox"
008YTN,"ElectricLavender, Bear"
008ZQB,"CoolBlack, Mollusk"
008ZUF,"MetallicSeaweed, Wrasse"
009AVA,"Daffodil, Collie"
009BOY,"Heliotrope, BlackRhinoceros"
009IIZ,"RobinEggBlue, BengalTiger"
009J3X,"Tangelo, FlyingSquirrel"
009J7T,"Ruber, WildBoar"
009KYQ,"CameoPink, Akita"
009P1Z,"LightThulianPink, WhiteRhino"
009RHG,"DarkByzantium, Tamarin"
009RM5,"QuickSilver, Pheasant"
009SJK,"Tenne, HairyNosedWombat"
009SJW,"DarkLiver, Beaver"
009SNA,"MintCream, Rhino"
009W2I,"Cerise, Ladybird"
009XJX,"GhostWhite, AmericanWaterSpaniel"
009YMW,"CyberYellow, Antelope"
009ZEQ,"RoseEbony, Flounder"
00A29X,"LaserLemon, Shrimp"
00A3F3,"Arsenic, StellarSeaLion"
00A3SL,"EarthYellow, SunBear"
00A4GD,"FuzzyWuzzy, MonitorLizard"
00A61B,"Lilac, WhiteRhino"
00A6CZ,"PaoloVeroneseGreen, Dhole"
00ABAY,"LavenderPurple, GrayWhale"
00ABG4,"FluorescentYellow, Kangaroo"
00ABGA,"MediumAquamarine, Indri"
00AI61,"NadeshikoPink, Mastiff"
00AKD2,"PaleCornflowerBlue, LeatherbackSeaTurtle"
00AKN6,"RichBlack, StripedRocketFrog"
00AM6A,"BrinkPink, BlueLacyDog"
00ANFM,"Keppel, EdibleFrog"
00ANUN,"Goldenrod, Dalmatian"
00AO2B,"Jasper, SpermWhale"
00AOFR,"OldLavender, Arthropod"
00ARNW,"DarkCandyAppleRed, Labradoodle"
00AS2R,"TangoPink, Cougar"
00AT7C,"AbsoluteZero, Cattle"
00AW4A,"PalePink, ChowChow"
00AWHW,"SpicyMix, Gorilla"
00AXOQ,"TrueBlue, Piranha"
00B05B,"PastelRed, SlowWorm"
00B23X,"MintCream, Flounder"
00B5ET,"LemonCurry, Mink"
00B6YQ,"Amaranth, RussianBlue"
00B7FD,"BrightTurquoise, BorneanOrangutan"
00B7GR,"PaleVioletRed, GermanShepherd"
00B7RJ,"AmericanRose, Grouse"
00BBPL,"Bronze, MarbledSalamander"
00BE6V,"BattleshipGrey, MakoShark"
00BG7O,"FrenchPuce, DikDik"
00BKQR,"DarkPastelGreen, GreenBeeEater"
00BR95,"DarkSlateBlue, SeaUrchin"
00BS70,"Turquoise, Ant"
00BV2T,"CGRed, PolarBear"
00BWS6,"MediumJungleGreen, HarpSeal"
00BY45,"CopperRed, OldEnglishSheepdog"
00BZTJ,"PaleCerulean, BengalTiger"
00C113,"SealBrown, FieldSpaniel"
00C189,"BondiBlue, Marsupial"
00CAJ1,"CyanCobaltBlue, Alligator"
00CBJR,"ElectricLime, Rhinoceros"
00CD8F,"Mauve, Przewalski'sWildhorse"
00CEK5,"PersianRed, AfricanWildDog"
00CKK3,"DeepRuby, IndianStarTortoise"
00CNXU,"Catawba, Zebu"
00CQ35,"CrimsonGlory, Echidna"
00CSH4,"BeauBlue, MarineToad"
00CTGD,"TwilightLavender, Cat"
00CXIC,"ModeBeige, GrayFox"
00CXVJ,"Ruby, Bongo"
00CZEN,"BakerMillerPink, LemonShark"
00D3JZ,"MummysTomb, Terrapin"
00D8LE,"PastelViolet, RingedSeal"
00D97A,"DarkGoldenrod, Elephant"
00DAE3,"RegistrationBlack, BasenjiDog"
00DAJ9,"Silver, BologneseDog"
00DBTO,"DarkJungleGreen, Javanese"
00DBWW,"FrenchViolet, HumpbackWhale"
00DCQ5,"MediumTuscanRed, GalapagosLandIguana"
00DCUE,"CyberYellow, Jellyfish"
00DDMW,"GreenSheen, PilotWhale"
00DE6S,"CyberGrape, GrayNurseShark"
00DFPY,"SpringGreen, AmericanEskimoDog"
00DJ95,"ChinaRose, Llama"
00DKKL,"RichLilac, Snowshoe"
00DL6A,"AndroidGreen, Robin"
00DO32,"HanPurple, Gibbon"
00DPTO,"LightPink, FishingCat"
00DR74,"CocoaBrown, Dugong"
00DSL2,"PaleCerulean, EasternGorilla"
00DUD9,"RustyRed, Magpie"
00DUOV,"InternationalKleinBlue, HowlerMonkey"
00DXA4,"RoseTaupe, GeoffroysTamarin"
00DZ5T,"Turquoise, FlyingSquirrel"
00E1BY,"DeepChampagne, Lemming"
00E28A,"Claret, Barnacle"
00E2I6,"RussianViolet, EntlebucherMountainDog"
00E4BI,"TuftsBlue, Frigatebird"
00E67E,"MediumVioletRed, Chimpanzee"
00EE4I,"Cultured, WoollyMonkey"
00EFOO,"PeachOrange, Pika"
00EGKU,"GrayAsparagus, GrizzlyBear"
00EIER,"MagentaPink, GoldenLionTamarin"
00EJ5Y,"LightRedOchre, AmericanWaterSpaniel"
00EKA5,"BrightCerulean, Woodlouse"
00ENZZ,"CharlestonGreen, StripedDolphin"
00EON5,"EerieBlack, Sparrow"
00EP8K,"GrayBlue, SiberianHusky"
00ER6F,"FerrariRed, Squirrel"
00ES1V,"PakistanGreen, Tiger"
00EW8C,"TyrianPurple, Bandicoot"
00EX7I,"Isabelline, AustralianTerrier"
00EYII,"MidnightBlue, CloudedLeopard"
00F09G,"AtomicTangerine, Shrimp"
00F1IZ,"Skobeloff, Beaver"
00F5K3,"RoseEbony, Crane"
00FFY6,"PalatinatePurple, Mongoose"
00FH0N,"DarkSkyBlue, RedEyedTreeFrog"
00FJL0,"Tuscany, RedPanda"
00FJMC,"FireEngineRed, KomodoDragon"
00FRFJ,"Independence, KeelBilledToucan"
00FRSL,"LightKhaki, EmperorTamarin"
00FU8Z,"Eggshell, Mayfly"
00FUNU,"Grape, DikDik"
00FWGH,"Copper, MelonHeadedWhale"
00G3VM,"ItalianSkyBlue, Cassowary"
00G40G,"LemonMeringue, Grouse"
00G4O3,"Eggplant, Rhino"
00G5OW,"BlueYonder, MountainLion"
00G7N5,"TigersEye, RedEyedTreeFrog"
00G8QP,"Cream, CommonSeal"
00GB4S,"PinkPearl, Quetzal"
00GC08,"SizzlingRed, SilkyShark"
00GDUY,"Boysenberry, Ladybird"
00GR6J,"ItalianSkyBlue, Snowshoe"
00GRZW,"DarkPowderBlue, Mule"
00GWWZ,"MikadoYellow, BorneoElephant"
00GX0I,"BigFootFeet, Chipmunk"
00GXM3,"HollywoodCerise, SlowWorm"
00GYJY,"LightYellow, Coati"
00GZRH,"CeruleanFrost, DogoArgentino"
00H12S,"ElectricCrimson, KeelBilledToucan"
00H453,"Timberwolf, Butterfly"
00H4T6,"DeepMaroon, Camel"
00H59Q,"OldSilver, Jaguar"
00H7U3,"FreshAir, ChineseCrestedDog"
00H7VW,"Amazon, AdeliePenguin"
00H9FT,"Red, BactrianCamel"
00HC5A,"MagentaPink, Mongrel"
00HE4V,"EnglishViolet, MountainGorilla"
00HEOA,"Sunray, BlueWhale"
00HFJ2,"DeepSkyBlue, ElephantShrew"
00HFS1,"Onyx, NorfolkTerrier"
00HH2J,"RichMaroon, Budgerigar"
00HIDO,"JazzberryJam, SeaLion"
00HK1K,"IslamicGreen, PoisonDartFrog"
00HKN0,"AlienArmpit, PurpleEmperor"
00HKVP,"DeepSkyBlue, Mantis"
00HMIF,"Ivory, Hedgehog"
00HN5P,"PastelGray, Liger"
00HN7C,"OrangeYellow, Scorpion"
00HO2Y,"Beaver, CloudedLeopard"
00HOIB,"PaleBrown, Whale"
00HTGU,"CandyAppleRed, Ostrich"
00HUK3,"Dandelion, Starfish"
00HXAK,"NeonCarrot, AsianPalmCivet"
00HXUE,"PixiePowder, StagBeetle"
00HZ1U,"PaleSilver, VervetMonkey"
00I5BO,"MaximumYellow, SriLankanElephant"
00I66C,"Aureolin, Maltese"
00I9RH,"Ruddy, SnappingTurtle"
00ID13,"CosmicCobalt, Warthog"
00IFOR,"BrightGreen, Rattlesnake"
00IGOF,"PaleRobinEggBlue, Uguisu"
00IJ8I,"Salmon, Pheasant"
00IK5F,"BrownYellow, SnowFox"
00IKIZ,"Irresistible, AmericanBulldog"
00IN4B,"SalmonPink, PineMarten"
00IO1Q,"SchoolBusYellow, Impala"
00IPVM,"AntiqueBrass, Beetle"
00IQOO,"LaserLemon, BangleTiger"
00IVCE,"DeepCoffee, Porcupine"
00IWKL,"LawnGreen, Insect"
00IYVI,"SpanishBistre, Chimpanzee"
00J5HK,"DarkLiver, LittlePenguin"
00J690,"PearlAqua, AfricanPenguin"
00J74N,"SunsetOrange, Darwin'sFrog"
00J90E,"SugarPlum, Indri"
00JEVC,"UCLABlue, Axolotl"
00JEXB,"Pumpkin, TibetanMastiff"
00JFFD,"PaoloVeroneseGreen, BorderTerrier"
00JHMH,"Pear, Mole"
00JIPA,"GoldenBrown, Lemming"
00JIY6,"GoldFusion, Dhole"
00JK57,"CeruleanFrost, SnowHare"
00JPQ4,"Mantis, SnowyOwl"
00JSIZ,"RaspberryRose, WelshCorgi"
00JUK4,"AeroBlue, Fox"
00JWJW,"FrenchWine, VancouverIslandMarmot"
00JWZS,"UCLABlue, Serval"
00JYNL,"ThulianPink, GiantPanda"
00JZ1S,"Cerise, ScallopedHammerheadShark"
00JZJI,"Mint, Manatee"
00JZMA,"DarkTaupe, Nightingale"
00JZN6,"BrightGreen, Bison"
00K1DP,"BlastOffBronze, BavarianMountainHound"
00K22E,"DeepCarmine, AlpineDachsbracke"
00K6OD,"Toolbox, LoggerheadTurtles"
00K725,"PinkSherbet, BandedPalmCivet"
00K9E5,"PurpleTaupe, WhiteTailedDeer"
00KA16,"NewCar, LeatherbackSeaTurtle"
00KCCW,"PastelYellow, EntlebucherMountainDog"
00KERH,"Coral, WoollyMammoth"
00KJHH,"LapisLazuli, BactrianCamel"
00KKGQ,"MordantRed, BassetHound"
00KL4P,"HansaYellow, WhiteBeakedDolphin"
00KM1M,"AmaranthRed, Nightingale"
00KM7E,"MediumVermilion, EmperorTamarin"
00KNGT,"GoldenPoppy, Donkey"
00KOZW,"OceanGreen, Binturong"
00KR54,"Puce, Zebu"
00KSBV,"PewterBlue, Grasshopper"
00KSYX,"LightFuchsiaPink, FinWhale"
00KT6P,"TrolleyGrey, Octopus"
00KVBH,"MacaroniAndCheese, Cow"
00KXAC,"BitterLemon, Weasel"
00KY0M,"DarkMossGreen, Bird"
00L10D,"DeepSpaceSparkle, Earwig"
00L4AZ,"RaspberryPink, Mandrill"
00L5BI,"LanguidLavender, Iguanodon"
00L95S,"PastelGray, BlackRussianTerrier"
00L9LR,"Deer, NeapolitanMastiff"
00LA0C,"OldLace, SilkyShark"
00LCG4,"Cadet, Beaver"
00LE1Q,"Jasper, SiberianHusky"
00LE9Z,"DarkMagenta, SilverDollar"
00LI75,"GraniteGray, Mandrill"
00LJCU,"NapierGreen, Turtle"
00LJMM,"RosyBrown, Moorhen"
00LK9J,"LavenderPink, Walrus"
00LN2X,"DeepCarminePink, RiverDolphin"
00LNWO,"Camel, Lizard"
00LOOR,"TeaRose, BangleTiger"
00LXOO,"FieldDrab, Aardvark"
00LYMI,"FrenchSkyBlue, CrabEatingMacaque"
00LZGE,"CandyAppleRed, Vole"
00M8KP,"Strawberry, AmericanFoxhound"
00M9WU,"SpanishBlue, Rattlesnake"
00MACC,"Gray, Dugong"
00MAYE,"LavenderMagenta, EpagneulPontAudemer"
00MCSG,"HunterGreen, Zorilla"
00ME5P,"DeepPuce, Opossum"
00MFME,"DarkYellow, FurSeal"
00MFRK,"MediumVioletRed, Tiffany"
00MHTH,"PaleCerulean, MaskedPalmCivet"
00MIHE,"BrightPink, Platypus"
00MJC5,"RoyalPurple, HermitCrab"
00MK99,"TuftsBlue, Swan"
00MKOV,"EnglishGreen, Caterpillar"
00MND3,"PinkLace, Takin"
00MOYM,"MaximumBlue, AfricanPalmCivet"
00MS9R,"DeepPuce, Buffalo"
00MVVW,"HotPink, Eagle"
00MY4T,"PastelMagenta, BaskingShark"
00MZT3,"Moccasin, NakedMoleRat"
00N59M,"ArylideYellow, StripedDolphin"
00N647,"BubbleGum, Ragdoll"
00N67V,"TangerineYellow, PineMarten"
00N6CE,"FandangoPink, AmericanBulldog"
00NCJU,"BlackShadows, AfghanHound"
00NFOD,"RussianGreen, Otter"
00NHBF,"CadetBlue, Crane"
00NI3L,"SpanishCrimson, VampireBat"
00NIKZ,"RussianViolet, Angelfish"
00NJ27,"CarrotOrange, CloudedLeopard"
00NK3J,"CrimsonRed, Gazelle"
00NLJF,"ChromeYellow, Havanese"
00NQCB,"RebeccaPurple, Harrier"
00NT7U,"Ecru, Lancelet"
00O2XG,"Gunmetal, BoxerDog"
00O34G,"Maize, DobermanPinscher"
00O4VV,"CocoaBrown, Wombat"
00O57X,"Plum, BeardedDragon"
00O5YM,"Pink, Flounder"
00O64N,"MagentaHaze, Umbrellabird"
00O6T5,"GreenBlue, PoisonDartFrog"
00O8HH,"BrickRed, PolarBear"
00O9VH,"DeepAquamarine, BlacktipReefShark"
00O9Y2,"MediumSkyBlue, HumboldtPenguin"
00OBE5,"PictonBlue, AustralianKelpieDog"
00ODG2,"MediumJungleGreen, GiantPanda"
00ODQL,"LightCarminePink, BasenjiDog"
00OEN2,"BritishRacingGreen, Panda"
00OG25,"SpanishRed, Grouse"
00OG7P,"Ecru, Orca"
00OJT2,"SpanishGreen, AfricanClawedFrog"
00ONF9,"MellowApricot, RedPanda"
00ONKG,"PeachYellow, Goose"
00OSYI,"Coquelicot, StellersSeaCow"
00OU1C,"PaleCyan, RiverTurtle"
00OYMY,"Cinereous, ChowChow"
00OZP9,"KellyGreen, Ferret"
00P0SF,"Arsenic, ArcticFox"
00P290,"PastelPurple, CapuchinMonkey"
00P3ZN,"Carmine, Chinchilla"
00P53M,"MistyRose, Mink"
00P6B1,"MetallicSeaweed, GreyReefShark"
00P7EF,"CastletonGreen, GoldenRetriever"
00P8NV,"BlackCoral, DesertTortoise"
00PCML,"Apricot, HermitCrab"
00PDT4,"FashionFuchsia, Hyena"
00PKXT,"LiseranPurple, HowlerMonkey"
00PMDB,"TropicalRainForest, Mongrel"
00PP6S,"HarlequinGreen, AmericanCockerSpaniel"
00PP7P,"DarkGoldenrod, Indri"
00PSD8,"Ginger, DraftHorse"
00PU99,"CoyoteBrown, GreenPoisonDartFrog"
00PVJO,"SugarPlum, IbizanHound"
00PWBP,"Nickel, Frigatebird"
00Q0P7,"Flirt, Possum"
00Q56W,"CosmicCobalt, FishingCat"
00Q7O8,"SilverChalice, FrilledLizard"
00Q9E9,"Ming, SiameseFightingFish"
00QA4P,"TurkishRose, SeaTurtles"
00QD57,"SchaussPink, BedlingtonTerrier"
00QDJK,"DeepFuchsia, ClumberSpaniel"
00QGCD,"OldSilver, RockHyrax"
00QH67,"Asparagus, AfghanHound"
00QI9G,"Celeste, HumpbackWhale"
00QRNY,"JapaneseIndigo, DesertTortoise"
00QSEU,"Pumpkin, DartFrog"
00QTNG,"AliceBlue, Mandrill"
00QX50,"PinkPantone, Caiman"
00QX7X,"Deer, LabradorRetriever"
00QYGI,"JapaneseViolet, Jackrabbit"
00QYVA,"MetallicSeaweed, BullTerrier"
00QZO7,"DeepViolet, MonteIberiaEleuth"
00R2HR,"PinkFlamingo, Tiffany"
00R34S,"BrightTurquoise, SomaliWildAss"
00R353,"OldRose, Koala"
00R79R,"EarthYellow, Hummingbird"
00R8FH,"CharlestonGreen, GiantPandaBear"
00RDVO,"Folly, Arthropod"
00REN3,"RussianGreen, Oyster"
00REWD,"StilDeGrainYellow, HighlandCattle"
00RFBT,"CornflowerBlue, Wolverine"
00RH7V,"Grullo, CapuchinMonkey"
00RHBY,"Puce, Cougar"
00RLQR,"DeepCoffee, Chinchilla"
00RSWH,"BlueGreen, FrenchBulldog"
00RTXL,"HotMagenta, Potto"
00S00O,"BlanchedAlmond, Prawn"
00S0GL,"Salmon, Iguanodon"
00S1DP,"Midnight, MelonHeadedWhale"
00S1KW,"ElectricLime, GeoffroysTamarin"
00S1RS,"PastelBrown, GreaterSwissMountainDog"
00S2WI,"Lust, SilkyShark"
00S414,"BostonUniversityRed, Peacock"
00S6OF,"GenericViridian, SumatranRhinoceros"
00S8EY,"OldGold, Stingray"
00S8JZ,"MountainMeadow, Caracal"
00SCY4,"HookersGreen, SabreToothedTiger"
00SD1W,"Ecru, Puffin"
00SESN,"MintCream, Barb"
00SIFX,"Blond, Stoat"
00SKMV,"RomanSilver, DobermanPinscher"
00SL1Q,"AmaranthPink, DikDik"
00SOD1,"LawnGreen, Penguin"
00SOLN,"TropicalRainForest, Elephant"
00SQJ4,"EnglishGreen, HoneyBee"
00ST1N,"MediumChampagne, LongEaredOwl"
00SUUV,"GhostWhite, Guppy"
00SVE4,"DarkTangerine, BavarianMountainHound"
00SVKD,"PaleTaupe, Ibis"
00SVUD,"Citron, Marsupial"
00SY7Y,"Sunny, TasmanianTiger"
00SYJY,"SchoolBusYellow, Barnacle"
00T19M,"Mint, MorayEel"
00T1BE,"MediumOrchid, JavanRhinoceros"
00T2SI,"Bittersweet, Quolls"
00T6TJ,"SandDune, RedFox"
00T7TV,"PearlAqua, Avocet"
00T80H,"AmaranthRed, Wolf"
00T82N,"LawnGreen, Albatross"
00T9T8,"BleuDeFrance, CaimanLizard"
00TBGV,"RoastCoffee, Hippopotamus"
00TH96,"PalatinateBlue, AdeliePenguin"
00THFY,"FrenchMauve, GiantClam"
00TPOB,"Teal, WoollyMonkey"
00TS70,"RedDevil, AsianPalmCivet"
00TT0B,"DonkeyBrown, Frigatebird"
00TVEC,"EnglishLavender, SlothBear"
00TWM2,"CerisePink, AustralianShepherd"
00TY50,"Smalt, CrossRiverGorilla"
00TYID,"DarkOrange, Liger"
00U0C3,"LightHotPink, WaterBuffalo"
00U42O,"SteelTeal, Woodchuck"
00U885,"CoolBlack, Guppy"
00U89D,"Magnolia, Manatee"
00UFCF,"Almond, Chamois"
00UFV4,"SasquatchSocks, Seahorse"
00UGSC,"MoonstoneBlue, LeopardCat"
00UMGE,"Saffron, CairnTerrier"
00UVF6,"SaddleBrown, Uakari"
00UXZ1,"BabyPowder, LoggerheadTurtles"
00V26K,"DesertSand, Drever"
00V5KU,"PastelGray, NurseShark"
00V938,"Boysenberry, Mandrill"
00VAO6,"CarminePink, Newfoundland"
00VG3H,"BritishRacingGreen, BlackRhinoceros"
00VGVQ,"LemonChiffon, Emu"
00VIEU,"UPMaroon, Vole"
00VJXY,"DeepGreenCyanTurquoise, StripedRocketFrog"
00VR8O,"TangerineYellow, SumatranRhinoceros"
00VRRQ,"BlackBean, Tortoise"
00VUDQ,"DarkSeaGreen, LemonShark"
00VWVR,"DeepJungleGreen, PatasMonkey"
00VYHF,"AmaranthRed, Monkey"
00W11Q,"AmaranthRed, BelugaWhale"
00W1BP,"Mauve, HumpbackWhale"
00W4NL,"BarbiePink, VampireBat"
00W5BP,"MayGreen, CottontopTamarin"
00W6DZ,"MediumLavenderMagenta, Walrus"
00WA5W,"Inchworm, DikDik"
00WAYX,"EnglishLavender, PoisonDartFrog"
00WBFD,"LemonYellow, Budgerigar"
00WH9B,"SolidPink, PufferFish"
00WHQD,"MediumVermilion, PygmyMarmoset"
00WKCH,"CarmineRed, Pointer"
00WKZ1,"Azure, Ray"
00WM85,"OceanBlue, Mayfly"
00WPLN,"LightHotPink, Gorilla"
00WTJC,"MintCream, ArcticFox"
00WUDP,"PearlyPurple, RussianBlue"
00WUU9,"MellowYellow, BirdsOfParadise"
00WVG4,"DarkOrchid, Llama"
00X529,"TurkishRose, Lama"
00X54O,"SilverLakeBlue, Skink"
00X5VW,"MagentaHaze, Wolverine"
00X6L6,"Scarlet, NakedMoleRat"
00XA2I,"DarkLiver, DogfishShark"
00XBRS,"Chartreuse, EasternLowlandGorilla"
00XEGZ,"IslamicGreen, CrestedPenguin"
00XFWM,"FieryRose, Woodchuck"
00XH9Y,"PlumpPurple, Puma"
00XHX1,"LaserLemon, Macaw"
00XIQ5,"ScreaminGreen, TurkishAngora"
00XK0E,"RazzmicBerry, Kakapo"
00XNQH,"OutrageousOrange, StellersSeaCow"
00XO1N,"DarkMagenta, SnappingTurtle"
00XQ97,"MidnightGreen, WhiteBeakedDolphin"
00XQLH,"LiseranPurple, Panda"
00XQUH,"TurtleGreen, Seahorse"
00XQWS,"CyberGrape, Ant"
00XSVS,"PinkSherbet, ArcticFox"
00XTX4,"AntiqueBrass, BactrianCamel"
00XVE2,"PaleCornflowerBlue, Panther"
00XW8A,"Flirt, Elephant"
00XX4A,"BlanchedAlmond, Tetra"
00XYN6,"BananaYellow, Liger"
00Y1A3,"CandyAppleRed, Peacock"
00Y35C,"RedDevil, Siberian"
00Y3A4,"Tan, WaterBuffalo"
00Y3LG,"SkyMagenta, Chimpanzee"
00Y482,"TurkishRose, AiredaleTerrier"
00Y6IQ,"Capri, BostonTerrier"
00Y8MC,"LightSteelBlue, DuskyDolphin"
00YB47,"BurnishedBrown, Alpaca"
00YD5N,"Purpureus, GiantPanda"
00YG3U,"CanaryYellow, VancouverIslandMarmot"
00YGSU,"SkyMagenta, TigerShark"
00YHI0,"GrannySmithApple, MaskedPalmCivet"
